run,leg,channel,unit,peak,rms,settled_rms
l1_6d_B,step_x-,EE pos,mm,10.5257,6.2782,4.6373
l1_6d_B,step_x-,EE head,deg,12.2001,9.9232,11.8756
l1_6d_B,step_x-,joints,deg,12.2369,10.0143,11.9528
l1_6d_B,step_y+,CoM pos,mm,235.2344,76.7409,8.9565
l1_6d_B,step_y+,CoM vel,mm/s,335.1372,102.0317,17.1602
l1_6d_B,step_y+,attitude,deg,6.2115,2.2318,0.4668
l1_6d_B,step_y+,EE pos,mm,8.1642,5.2374,5.4108
l1_6d_B,step_y+,EE head,deg,13.0344,8.9791,10.1378
l1_6d_B,step_y+,joints,deg,12.3704,8.9223,10.0017
l1_6d_B,step_y-,CoM pos,mm,211.7101,66.0418,38.0554
l1_6d_B,step_y-,CoM vel,mm/s,335.6974,102.6438,14.1208
l1_6d_B,step_y-,attitude,deg,4.9141,1.9632,1.3334
l1_6d_B,step_y-,EE pos,mm,8.7820,5.5777,4.4371
l1_6d_B,step_y-,EE head,deg,14.1922,10.4862,4.5019
l1_6d_B,step_y-,joints,deg,13.8886,10.6599,4.4746
l1_6d_B,step_yaw+,CoM pos,mm,39.8427,18.2209,5.5887
l1_6d_B,step_yaw+,CoM vel,mm/s,39.2853,16.7981,3.8604
l1_6d_B,step_yaw+,attitude,deg,8.3311,2.6880,0.3058
l1_6d_B,step_yaw+,EE pos,mm,26.7313,9.7408,4.8839
l1_6d_B,step_yaw+,EE head,deg,13.4686,8.5534,12.4838
l1_6d_B,step_yaw+,joints,deg,13.6518,8.7703,12.6047
l1_6d_B,step_yaw-,CoM pos,mm,48.3074,26.1772,38.3551
l1_6d_B,step_yaw-,CoM vel,mm/s,42.3984,21.4539,22.3236
l1_6d_B,step_yaw-,attitude,deg,9.3911,3.0461,1.1537
l1_6d_B,step_yaw-,EE pos,mm,32.3282,11.0174,4.4486
l1_6d_B,step_yaw-,EE head,deg,13.9405,9.8550,3.4490
l1_6d_B,step_yaw-,joints,deg,14.3305,10.1913,3.7412
l1_6d_B,traj_ee,CoM pos,mm,62.0813,31.1497,43.0921
l1_6d_B,traj_ee,CoM vel,mm/s,60.4093,31.5448,14.1639
l1_6d_B,traj_ee,attitude,deg,2.6252,1.3359,1.4085
l1_6d_B,traj_ee,EE pos,mm,16.4513,8.9631,5.7317
l1_6d_B,traj_ee,EE head,deg,26.2802,12.0144,3.1926
l1_6d_B,traj_ee,joints,deg,25.3800,11.9678,4.2354
l1_6d_B,traj_ee_back,CoM pos,mm,42.1618,22.4111,35.1794
l1_6d_B,traj_ee_back,CoM vel,mm/s,45.3927,22.5737,19.1820
l1_6d_B,traj_ee_back,attitude,deg,1.8661,0.9870,1.6574
l1_6d_B,traj_ee_back,EE pos,mm,15.7906,8.6911,4.0689
l1_6d_B,traj_ee_back,EE head,deg,13.5326,8.7574,11.2505
l1_6d_B,traj_ee_back,joints,deg,13.5841,8.8648,11.2212
l1_6d_B,traj_both,CoM pos,mm,44.3887,22.5313,28.0952
l1_6d_B,traj_both,CoM vel,mm/s,40.2599,17.5419,22.6755
l1_6d_B,traj_both,attitude,deg,1.9814,0.9333,1.5741
l1_6d_B,traj_both,EE pos,mm,7.5007,5.0040,5.2004
l1_6d_B,traj_both,EE head,deg,14.9203,9.4894,8.3277
l1_6d_B,traj_both,joints,deg,14.9259,9.5745,8.4636
