t,bx,by,bz,roll,pitch,yaw,cx,cy,cz,dist,q1,q2,q3,q4,m0,m1,m2,m3
0.0259,0.0008,0.0001,0.3055,-0.0000,-0.0000,0.0136,0.2574,-0.0007,0.2261,0.2686,0.1675,36.8758,38.2341,0.0560,nan,nan,nan,nan
0.0464,0.0008,0.0001,0.3055,-0.0000,-0.0000,0.0136,0.2574,-0.0007,0.2261,0.2686,0.1649,36.8769,38.2326,0.0606,nan,nan,nan,nan
0.0714,0.0008,0.0001,0.3055,-0.0000,0.0000,0.0136,0.2574,-0.0007,0.2261,0.2686,0.1595,36.8802,38.2321,0.0673,nan,nan,nan,nan
0.0967,0.0008,0.0001,0.3055,-0.0000,-0.0000,0.0136,0.2574,-0.0007,0.2262,0.2686,0.1542,36.8841,38.2340,0.0727,nan,nan,nan,nan
0.1184,0.0008,0.0001,0.3055,-0.0000,-0.0000,0.0136,0.2573,-0.0008,0.2262,0.2685,0.1525,36.8870,38.2355,0.0745,nan,nan,nan,nan
0.1406,0.0008,0.0001,0.3055,-0.0000,-0.0000,0.0136,0.2573,-0.0008,0.2262,0.2685,0.1519,36.8902,38.2387,0.0756,nan,nan,nan,nan
0.1715,0.0008,0.0001,0.3055,0.0000,-0.0000,0.0136,0.2573,-0.0008,0.2262,0.2685,0.1510,36.8931,38.2406,0.0786,nan,nan,nan,nan
0.2070,0.0008,0.0001,0.3055,-0.0000,0.0000,0.0136,0.2573,-0.0008,0.2262,0.2685,0.1454,36.8953,38.2433,0.0802,nan,nan,nan,nan
0.2331,0.0008,0.0001,0.3055,-0.0000,0.0000,0.0136,0.2573,-0.0008,0.2262,0.2685,0.1416,36.8956,38.2450,0.0796,nan,nan,nan,nan
0.2591,0.0008,0.0001,0.3055,-0.0000,0.0000,0.0136,0.2573,-0.0008,0.2262,0.2685,0.1404,36.8958,38.2452,0.0791,nan,nan,nan,nan
0.2914,0.0008,0.0001,0.3055,-0.0000,-0.0000,0.0136,0.2573,-0.0008,0.2262,0.2685,0.1379,36.8967,38.2429,0.0789,nan,nan,nan,nan
0.3129,0.0008,0.0001,0.3055,-0.0000,-0.0000,0.0136,0.2573,-0.0008,0.2262,0.2685,0.1375,36.8953,38.2420,0.0817,nan,nan,nan,nan
0.3414,0.0008,0.0001,0.3055,-0.0001,0.0000,0.0136,0.2573,-0.0008,0.2262,0.2685,0.1371,36.8946,38.2429,0.0815,nan,nan,nan,nan
0.3674,0.0008,0.0001,0.3055,-0.0000,-0.0000,0.0136,0.2573,-0.0008,0.2262,0.2685,0.1357,36.8944,38.2438,0.0813,nan,nan,nan,nan
0.4005,0.0008,0.0001,0.3055,-0.0001,0.0000,0.0136,0.2573,-0.0008,0.2262,0.2685,0.1327,36.8959,38.2397,0.0839,nan,nan,nan,nan
0.4229,0.0008,0.0001,0.3055,-0.0001,0.0000,0.0136,0.2574,-0.0009,0.2262,0.2685,0.1301,36.8962,38.2363,0.0865,nan,nan,nan,nan
0.4494,0.0008,0.0001,0.3055,-0.0000,0.0000,0.0136,0.2574,-0.0009,0.2262,0.2685,0.1259,36.8968,38.2315,0.0892,nan,nan,nan,nan
0.4813,0.0008,0.0001,0.3055,0.0000,-0.0000,0.0136,0.2574,-0.0009,0.2262,0.2685,0.1214,36.8960,38.2291,0.0891,nan,nan,nan,nan
0.5193,0.0008,0.0001,0.3055,-0.0000,0.0000,0.0136,0.2574,-0.0009,0.2262,0.2686,0.1161,36.8959,38.2281,0.0886,nan,nan,nan,nan
0.5413,0.0008,0.0001,0.3055,-0.0000,0.0000,0.0136,0.2574,-0.0009,0.2262,0.2686,0.1124,36.8978,38.2237,0.0892,nan,nan,nan,nan
0.5631,0.0008,0.0001,0.3055,-0.0000,0.0000,0.0136,0.2574,-0.0009,0.2262,0.2686,0.1114,36.8979,38.2234,0.0901,nan,nan,nan,nan
0.5950,0.0008,0.0001,0.3055,-0.0000,-0.0000,0.0136,0.2574,-0.0010,0.2262,0.2686,0.1061,36.8990,38.2235,0.0921,nan,nan,nan,nan
0.6152,0.0008,0.0001,0.3055,-0.0000,-0.0000,0.0136,0.2574,-0.0010,0.2262,0.2686,0.1037,36.9006,38.2234,0.0908,nan,nan,nan,nan
0.6355,0.0008,0.0001,0.3055,-0.0000,0.0000,0.0136,0.2574,-0.0010,0.2262,0.2686,0.1037,36.9035,38.2198,0.0882,nan,nan,nan,nan
0.6559,0.0008,0.0001,0.3055,-0.0000,-0.0000,0.0136,0.2574,-0.0009,0.2262,0.2686,0.1078,36.9054,38.2165,0.0838,nan,nan,nan,nan
0.6809,0.0008,0.0001,0.3055,-0.0000,0.0001,0.0136,0.2574,-0.0009,0.2262,0.2686,0.1162,36.9095,38.2142,0.0779,nan,nan,nan,nan
0.7024,0.0008,0.0001,0.3055,-0.0000,0.0001,0.0136,0.2574,-0.0009,0.2262,0.2686,0.1224,36.9122,38.2154,0.0744,nan,nan,nan,nan
0.7272,0.0008,0.0001,0.3055,-0.0000,-0.0000,0.0136,0.2574,-0.0008,0.2263,0.2685,0.1336,36.9158,38.2177,0.0732,nan,nan,nan,nan
0.7543,0.0008,0.0001,0.3055,-0.0000,-0.0000,0.0136,0.2574,-0.0008,0.2263,0.2685,0.1459,36.9203,38.2187,0.0764,nan,nan,nan,nan
