# Scored with application/robotic_arm/utils/wb_l1_metrics.py (npz are gitignored).
# All runs on fsc_lab_machine (RTF 0.336), --hold-between 16. See README.md sections 4-5.
# calib_* per-joint sqrt(2) conv | conva_* per-joint in-band conv | unif7 the 09-09
# uniform 7 mA | ideal* exact torque source | calib_hl = shipped per-joint, HEADLESS.

metric                            l1_calib_A.npz          l1_calib_B.npz          l1_conva_A.npz          l1_conva_B.npz            l1_unif7.npz            l1_ideal.npz          l1_ideal_B.npz         l1_calib_hl.npz
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
observer                                      L1                      L1                      L1                      L1                      L1                      L1                      L1                      L1
aborted                                     True                    True                    True                   False                    True                    True                    True                    True
step_x+.peak_mm                           318.53                  311.53                  309.63                  324.86                  317.45                  319.75                  309.90                  335.58
step_x+.settle_mm                          23.16                   25.53                   21.91                   26.66                   24.56                   22.27                   20.95                   24.36
step_x+.tilt_max                            3.90                    4.04                    3.73                    4.14                    4.00                    3.88                    3.68                    4.01
step_x+.s                                  22.08                   22.12                   22.12                   22.08                   22.08                   22.02                   22.08                   22.06
step_x-.peak_mm                           298.71                  291.04                  286.32                  292.84                  303.49                  291.14                  302.80                  293.82
step_x-.settle_mm                          25.00                   23.74                   17.00                   22.98                   22.10                   18.97                   19.60                   23.55
step_x-.tilt_max                            3.85                    3.80                    3.62                    3.83                    3.74                    3.72                    3.85                    3.73
step_x-.s                                  21.88                   21.88                   21.88                   21.88                   21.92                   21.92                   21.84                   21.86
step_y+.peak_mm                           289.52                  329.31                  295.42                  313.97                  303.61                  310.25                  303.81                  301.25
step_y+.settle_mm                          27.27                   55.87                   18.45                   44.49                  126.39                   51.36                   26.82                   19.22
step_y+.tilt_max                            3.82                    5.01                    3.87                    4.37                   20.19                   19.54                    3.81                    3.37
step_y+.s                                  21.84                   21.88                   21.82                   21.90                    7.25                   20.70                   21.84                   21.90
step_y-.peak_mm                           290.60                  293.14                  294.83                  263.77                       -                       -                  288.07                  316.72
step_y-.settle_mm                          31.50                   32.67                   27.04                   29.29                       -                       -                   28.41                   34.61
step_y-.tilt_max                            4.16                    5.09                    4.04                    3.59                       -                       -                    3.85                    4.70
step_y-.s                                  21.86                   21.88                   21.88                   21.88                       -                       -                   21.88                   21.90
step_yaw+.peak_mm                          33.54                   37.60                   27.96                   44.38                       -                       -                   56.29                   33.07
step_yaw+.settle_mm                         7.49                   15.88                    7.52                   11.64                       -                       -                   20.81                    9.80
step_yaw+.tilt_max                          1.76                    1.58                    1.43                    1.54                       -                       -                   13.92                    1.63
step_yaw+.s                                19.76                   19.74                   19.82                   19.80                       -                       -                   19.82                   19.74
step_yaw-.peak_mm                          22.83                   91.40                   77.49                   17.97                       -                       -                   72.27                   26.01
step_yaw-.settle_mm                        10.69                   39.72                   27.79                   12.47                       -                       -                   59.36                   11.83
step_yaw-.tilt_max                          0.78                   19.34                   18.66                    0.73                       -                       -                   19.94                    0.83
step_yaw-.s                                19.84                   17.77                   17.06                   19.82                       -                       -                    2.14                   19.78
traj_ee.peak_mm                            30.04                       -                       -                   13.86                       -                       -                       -                   30.33
traj_ee.settle_mm                          13.82                       -                       -                    6.95                       -                       -                       -                   13.96
traj_ee.tilt_max                            1.17                       -                       -                    0.52                       -                       -                       -                    1.08
traj_ee.s                                  23.78                       -                       -                   23.84                       -                       -                       -                   23.90
traj_ee_back.peak_mm                       26.48                       -                       -                   28.96                       -                       -                       -                   24.80
traj_ee_back.settle_mm                      8.20                       -                       -                    7.95                       -                       -                       -                    5.97
traj_ee_back.tilt_max                       1.49                       -                       -                    0.86                       -                       -                       -                    1.07
traj_ee_back.s                             24.08                       -                       -                   24.00                       -                       -                       -                   23.86
traj_both.peak_mm                         203.02                       -                       -                  217.46                       -                       -                       -                  204.95
traj_both.settle_mm                        18.13                       -                       -                   14.60                       -                       -                       -                   16.75
traj_both.tilt_max                          5.92                       -                       -                    2.59                       -                       -                       -                    2.61
traj_both.s                                24.36                       -                       -                   24.20                       -                       -                       -                   24.12
traj_both_back.peak_mm                    231.71                       -                       -                  231.91                       -                       -                       -                  244.60
traj_both_back.settle_mm                   79.30                       -                       -                   18.79                       -                       -                       -                   17.59
traj_both_back.tilt_max                    19.10                       -                       -                    2.84                       -                       -                       -                    3.79
traj_both_back.s                           18.76                       -                       -                   23.86                       -                       -                       -                   23.60
post_hold.peak_mm                              -                       -                       -                   20.21                       -                       -                       -                   93.09
post_hold.settle_mm                            -                       -                       -                    8.88                       -                       -                       -                   28.64
post_hold.tilt_max                             -                       -                       -                    0.89                       -                       -                       -                   20.21
post_hold.s                                    -                       -                       -                   16.00                       -                       -                       -                   15.00

l1_calib_A.npz: ABORTED -- pos=(0.07,0.06,0.92) tilt=37.0 deg |v|=0.21

l1_calib_B.npz: ABORTED -- pos=(0.07,0.07,0.91) tilt=40.1 deg |v|=0.31

l1_conva_A.npz: ABORTED -- pos=(0.07,0.06,0.91) tilt=39.8 deg |v|=0.27

l1_unif7.npz: ABORTED -- pos=(0.07,0.55,0.92) tilt=42.1 deg |v|=0.51

l1_ideal.npz: ABORTED -- pos=(0.02,0.54,0.95) tilt=39.9 deg |v|=0.26

l1_ideal_B.npz: ABORTED -- pos=(-0.02,0.00,0.95) tilt=43.3 deg |v|=0.27

l1_calib_hl.npz: ABORTED -- pos=(0.05,0.03,0.92) tilt=37.0 deg |v|=0.27
