variant,n,r2,rmse,nrmse,lam_mean,lam_std,lam_min,lam_max,frac_negative,n_removed_by_filter,rpm_rate_max
direct_all,9837,0.19801480269250127,5.1195248574328724,1.252455110322315,4.087591495487116,5.716714188215898,-18.98319987737412,28.215853683501116,0.31340855952017893,0,21514.36406298613
direct_filtered,8842,0.3219642513750801,4.788433323951595,1.3337127032610006,3.590303453092719,5.815233375935914,-19.146793138181977,28.590949841748845,0.3492422528839629,1005,4997.008675034234
lag_all,12118,0.5112703601761011,2.674963697088031,0.18676749470424303,14.322426401467709,3.8263399596238656,8.166998791284179,18.37897445322551,0.0,0,21514.36406298613
lag_filtered,11118,0.5262003386201286,2.6365623972151973,0.18179506714630467,14.502936953142683,3.83036959052054,8.166998791284179,18.37897445322551,0.0,1005,4997.008675034234
